community,bulk.density,latitude,season
Spartina alterniflora,0.92,36.05,Spring
Spartina alterniflora,0.68,36.07,Summer
Spartina alterniflora,1.18,36.05,Summer
Spartina alterniflora,0.73,36.21,Summer
Spartina alterniflora,0.93,36.05,Autumn
Spartina alterniflora,0.89,36.05,Winter
Spartina alterniflora,1.25,33.6,Spring
Spartina alterniflora,1.39,33.2,Spring
Spartina alterniflora,1.38,33.2,Spring
Spartina alterniflora,1.23,31.2,Spring
Spartina alterniflora,1.25,31.41,Spring
Spartina alterniflora,1.44,33.57,Spring
Spartina alterniflora,1.37,32.61,Summer
Spartina alterniflora,0.87,28.32,Summer
Spartina alterniflora,0.84,31.42,Summer
Spartina alterniflora,1.15,31.28,Summer
Spartina alterniflora,1.63,33.6,Summer
Spartina alterniflora,1.25,33.33,Autumn
Spartina alterniflora,1.25,32.81,Autumn
Spartina alterniflora,0.88,33.01,Autumn
Spartina alterniflora,1.38,33.2,Autumn
Spartina alterniflora,1.39,33.2,Autumn
Spartina alterniflora,1.4,33.2,Autumn
Spartina alterniflora,1.13,31.41,Autumn
Spartina alterniflora,1.15,31.41,Autumn
Spartina alterniflora,1.1,33,Autumn
Spartina alterniflora,1.15,33,Autumn
Spartina alterniflora,0.96,33,Autumn
Spartina alterniflora,1.29,33,Autumn
Spartina alterniflora,1.09,31.41,Winter
Spartina alterniflora,1.32,31.41,Winter
Suaeda salsa,1.5,37.63,Spring
Suaeda salsa,1.26,36.07,Summer
Suaeda salsa,1.23,36.21,Summer
Suaeda salsa,1.8,37.63,Summer
Suaeda salsa,1.9,37.63,Autumn
Suaeda salsa,1.79,37.75,Winter
Suaeda salsa,1.4,33.57,Spring
Suaeda salsa,1.55,33.6,Spring
Suaeda salsa,1.41,33.2,Spring
Suaeda salsa,1.41,32.61,Summer
Suaeda salsa,1.98,33.6,Summer
Suaeda salsa,1.55,32.81,Autumn
Suaeda salsa,1.17,33.01,Autumn
Suaeda salsa,1.41,33.2,Autumn
Suaeda salsa,1.46,33.53,Autumn
Suaeda salsa,1.55,33.5,Autumn
Suaeda salsa,1.38,33,Autumn
Suaeda salsa,1.38,33,Autumn
Phragmites australis,1.4,37.63,Spring
Phragmites australis,1.24,36.07,Summer
Phragmites australis,1.35,36.21,Summer
Phragmites australis,1.8,37.63,Summer
Phragmites australis,1.8,37.63,Autumn
Phragmites australis,1.72,37.75,Winter
Phragmites australis,1.18,31.41,Spring
Phragmites australis,1.21,31.2,Spring
Phragmites australis,1.43,33.2,Spring
Phragmites australis,1.64,33.6,Spring
Phragmites australis,1.13,31.28,Summer
Phragmites australis,0.76,31.42,Summer
Phragmites australis,1.38,32.61,Summer
Phragmites australis,1.4,31.41,Autumn
Phragmites australis,1.3,31.41,Autumn
Phragmites australis,1.64,32.81,Autumn
Phragmites australis,1.64,33.5,Autumn
Phragmites australis,1.02,31.41,Winter
Phragmites australis,0.93,31.41,Winter
