community,pH,latitude,season
Spartina alterniflora,7.6,36.05,Spring
Spartina alterniflora,7.94,36.05,Summer
Spartina alterniflora,7.19,36.07,Summer
Spartina alterniflora,7.9,36.21,Summer
Spartina alterniflora,8.38,37.35,Summer
Spartina alterniflora,8.16,37.82,Summer
Spartina alterniflora,7.62,36.05,Autumn
Spartina alterniflora,8.38,36.12,Autumn
Spartina alterniflora,8.26,38.77,Autumn
Spartina alterniflora,7.49,36.05,Winter
Spartina alterniflora,8.33 ,36.05 ,Winter
Spartina alterniflora,8.71,30.3,Spring
Spartina alterniflora,8.72,30.3,Spring
Spartina alterniflora,8.11,31.41,Spring
Spartina alterniflora,8.24,31.5,Spring
Spartina alterniflora,7.99,33.27,Spring
Spartina alterniflora,9.02,33.57,Spring
Spartina alterniflora,8.32,33.6,Spring
Spartina alterniflora,8.34,33.6,Spring
Spartina alterniflora,8.33,28.32,Summer
Spartina alterniflora,8.27,28.35,Summer
Spartina alterniflora,8.36 ,28.35,Summer
Spartina alterniflora,8.15,29.4,Summer
Spartina alterniflora,8.52,30.31,Summer
Spartina alterniflora,8.08,31.28,Summer
Spartina alterniflora,8.22,31.42,Summer
Spartina alterniflora,6.81,31.5,Summer
Spartina alterniflora,8.66,31.5,Summer
Spartina alterniflora,8.8,31.5,Summer
Spartina alterniflora,7.8,32.61,Summer
Spartina alterniflora,8.75,33.45,Summer
Spartina alterniflora,8.75,33.48,Summer
Spartina alterniflora,7.66,33.6,Summer
Spartina alterniflora,7.66,33.6,Summer
Spartina alterniflora,8.03,33.6,Summer
Spartina alterniflora,8.13,33.6,Summer
Spartina alterniflora,7.27,26.75,Autumn
Spartina alterniflora,8.62,30.3,Autumn
Spartina alterniflora,8.75,30.3,Autumn
Spartina alterniflora,7.56,31.4,Autumn
Spartina alterniflora,8.91,31.41,Autumn
Spartina alterniflora,9.02,31.41,Autumn
Spartina alterniflora,8.59,32.81,Autumn
Spartina alterniflora,8.4,33,Autumn
Spartina alterniflora,9.16,33,Autumn
Spartina alterniflora,8.34,33.01,Autumn
Spartina alterniflora,7.58,33.13,Autumn
Spartina alterniflora,8.71,33.13,Autumn
Spartina alterniflora,8.55,33.33,Autumn
Spartina alterniflora,8.59,33.5,Autumn
Spartina alterniflora,8.4,33.53,Autumn
Spartina alterniflora,8.56,33.53,Autumn
Spartina alterniflora,8.54,33.6,Autumn
Spartina alterniflora,8.72,31.41,Winter
Spartina alterniflora,8.96,31.41,Winter
Spartina alterniflora,7.65,33.5,Winter
Suaeda salsa,8.06,40.93,Spring
Suaeda salsa,8.34,37.89,Spring
Suaeda salsa,8.43,37.89,Spring
Suaeda salsa,7.79,37.77,Spring
Suaeda salsa,8.19,37.77,Spring
Suaeda salsa,8.4,37.63,Spring
Suaeda salsa,8.55,37.5,Spring
Suaeda salsa,8.16,37.82,Summer
Suaeda salsa,8.7,37.63,Summer
Suaeda salsa,7.72,37.62,Summer
Suaeda salsa,7.73,36.21,Summer
Suaeda salsa,7.41,36.07,Summer
Suaeda salsa,8.22,38.77,Autumn
Suaeda salsa,8.7,37.63,Autumn
Suaeda salsa,8.44,36.18,Autumn
Suaeda salsa,8.83,37.75,Winter
Suaeda salsa,8.41,36.05,Winter
Suaeda salsa,7.91,33.6,Spring
Suaeda salsa,8.84,33.6,Spring
Suaeda salsa,8.68,33.57,Spring
Suaeda salsa,7.47,33.6,Summer
Suaeda salsa,7.51,33.6,Summer
Suaeda salsa,8.36,33.6,Summer
Suaeda salsa,9.33,33.48,Summer
Suaeda salsa,9.33,33.45,Summer
Suaeda salsa,8.1,32.61,Summer
Suaeda salsa,8.63,33.53,Autumn
Suaeda salsa,9.14,33.5,Autumn
Suaeda salsa,6.05,33.13,Autumn
Suaeda salsa,8.82,33.13,Autumn
Suaeda salsa,8.77,33.01,Autumn
Suaeda salsa,8.86,33,Autumn
Suaeda salsa,9.01,33,Autumn
Suaeda salsa,9.14,32.81,Autumn
Suaeda salsa,8.96,33.5,Winter
Phragmites australis,7.06,41.23,Spring
Phragmites australis,8.25,37.89,Spring
Phragmites australis,8.33,37.89,Spring
Phragmites australis,7.88,37.77,Spring
Phragmites australis,7.97,37.77,Spring
Phragmites australis,8.4,37.63,Spring
Phragmites australis,7.96,37.82,Summer
Phragmites australis,8.4,37.63,Summer
Phragmites australis,7.88,37.62,Summer
Phragmites australis,8.36,37.35,Summer
Phragmites australis,8.03,36.21,Summer
Phragmites australis,7.65,36.07,Summer
Phragmites australis,8.23,38.77,Autumn
Phragmites australis,8.6,37.63,Autumn
Phragmites australis,8.67,36.23,Autumn
Phragmites australis,8.41,37.75,Winter
Phragmites australis,8.49,36.05,Winter
Phragmites australis,8.27,33.6,Spring
Phragmites australis,9.25,33.6,Spring
Phragmites australis,7.84,33.27,Spring
Phragmites australis,8.18,31.5,Spring
Phragmites australis,8.18,31.41,Spring
Phragmites australis,9.03,30.3,Spring
Phragmites australis,9.08,30.3,Spring
Phragmites australis,8.87,33.48,Summer
Phragmites australis,8.87,33.45,Summer
Phragmites australis,7.7,32.61,Summer
Phragmites australis,6.85,31.5,Summer
Phragmites australis,8.76,31.5,Summer
Phragmites australis,8.12,31.42,Summer
Phragmites australis,8.1,31.28,Summer
Phragmites australis,9.17,33.5,Autumn
Phragmites australis,6.03,33.13,Autumn
Phragmites australis,9.17,32.81,Autumn
Phragmites australis,8.62,31.41,Autumn
Phragmites australis,9.04,31.41,Autumn
Phragmites australis,7.74,31.4,Autumn
Phragmites australis,8.7,30.3,Autumn
Phragmites australis,9,30.3,Autumn
Phragmites australis,9.01,33.5,Winter
Phragmites australis,8.83,31.41,Winter
Phragmites australis,8.93,31.41,Winter
